56.7888 	EXP 	fixation: autoDraw = True
57.2887 	EXP 	fixation: autoDraw = False
57.2887 	EXP 	grating: autoDraw = True
57.5886 	EXP 	grating: autoDraw = False
57.7085 	DATA 	Keypress: right
57.7209 	EXP 	fixation: autoDraw = False
57.7209 	EXP 	grating: autoDraw = False
57.7209 	EXP 	grating: ori = 17.5
57.7209 	EXP 	fixation: autoDraw = True
58.2218 	EXP 	fixation: autoDraw = False
58.2218 	EXP 	grating: autoDraw = True
58.5210 	EXP 	grating: autoDraw = False
58.6591 	DATA 	Keypress: right
58.6714 	EXP 	fixation: autoDraw = False
58.6714 	EXP 	grating: autoDraw = False
58.6714 	EXP 	grating: ori = -17.5
58.6714 	EXP 	fixation: autoDraw = True
59.1708 	EXP 	fixation: autoDraw = False
59.1708 	EXP 	grating: autoDraw = True
59.4710 	EXP 	grating: autoDraw = False
59.8253 	DATA 	Keypress: right
59.8378 	EXP 	fixation: autoDraw = False
59.8378 	EXP 	grating: autoDraw = False
59.8378 	EXP 	grating: ori = -18.0
59.8378 	EXP 	fixation: autoDraw = True
60.3370 	EXP 	fixation: autoDraw = False
60.3370 	EXP 	grating: autoDraw = True
60.6374 	EXP 	grating: autoDraw = False
60.9242 	DATA 	Keypress: right
60.9365 	EXP 	fixation: autoDraw = False
60.9365 	EXP 	grating: autoDraw = False
60.9365 	EXP 	grating: ori = 18.5
60.9365 	EXP 	fixation: autoDraw = True
61.4373 	EXP 	fixation: autoDraw = False
61.4373 	EXP 	grating: autoDraw = True
61.7368 	EXP 	grating: autoDraw = False
61.7906 	DATA 	Keypress: right
61.8036 	EXP 	fixation: autoDraw = False
61.8036 	EXP 	grating: autoDraw = False
61.8036 	EXP 	grating: ori = -18.5
61.8036 	EXP 	fixation: autoDraw = True
62.3035 	EXP 	fixation: autoDraw = False
62.3035 	EXP 	grating: autoDraw = True
62.6037 	EXP 	grating: autoDraw = False
62.7412 	DATA 	Keypress: right
62.7538 	EXP 	fixation: autoDraw = False
62.7538 	EXP 	grating: autoDraw = False
62.7538 	EXP 	grating: ori = -19.0
62.7538 	EXP 	fixation: autoDraw = True
62.7729 	DATA 	Keypress: right
63.2533 	EXP 	fixation: autoDraw = False
63.2533 	EXP 	grating: autoDraw = True
63.5528 	EXP 	grating: autoDraw = False
63.6744 	DATA 	Keypress: right
63.6868 	EXP 	fixation: autoDraw = False
63.6868 	EXP 	grating: autoDraw = False
63.6868 	EXP 	grating: ori = 19.5
63.6868 	EXP 	fixation: autoDraw = True
64.1865 	EXP 	fixation: autoDraw = False
64.1865 	EXP 	grating: autoDraw = True
64.4860 	EXP 	grating: autoDraw = False
64.6218 	DATA 	Keypress: right
66.0395 	DATA 	Keypress: right
66.0521 	EXP 	fixation: autoDraw = False
66.0521 	EXP 	grating: autoDraw = False
66.0521 	EXP 	grating: ori = -19.5
66.0521 	EXP 	fixation: autoDraw = True
66.5521 	EXP 	fixation: autoDraw = False
