stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
31,0.5,17.5,57.72089609999966,58.221812899999804,58.221812899999804,58.221812899999804,58.52097249999997,right,17.5,1,1,0.592708500000299,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
32,0.5,17.5,58.6713565,59.17084380000006,59.17084380000006,59.17084380000006,59.47102309999991,left,-17.5,0,0,0.8105160000004616,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
33,0.5,18.0,59.837825000000066,60.337039099999856,60.337039099999856,60.337039099999856,60.63742359999969,left,-18.0,0,0,0.7435481000002255,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
34,0.5,18.5,60.93651959999988,61.437314199999946,61.437314199999946,61.437314199999946,61.736780499999895,right,18.5,1,1,0.5080332000002272,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
35,0.5,18.5,61.80360389999987,62.303541400000086,62.303541400000086,62.303541400000086,62.603717499999675,left,-18.5,0,0,0.5838859000004959,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
36,0.5,19.0,62.7538483999997,63.25326099999984,63.25326099999984,63.25326099999984,63.55280210000001,left,-19.0,0,0,0.568383900000299,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
37,0.5,19.5,63.686789699999736,64.18650630000002,64.18650630000002,64.18650630000002,64.4860190999998,right,19.5,1,1,2.0057354000000487,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
38,0.5,19.5,66.05206039999985,66.55212239999992,66.55212239999992,66.55212239999992,66.8520223999999,left,-19.5,0,0,0.7378472000000329,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
39,0.5,20.0,67.1519331999998,67.6520430999999,67.6520430999999,67.6520430999999,67.95134319999988,right,20.0,1,1,4.458738000000267,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
40,0.5,20.0,71.96573989999979,72.46605270000009,72.46605270000009,72.46605270000009,72.76672340000005,left,-20.0,0,0,1.3092523000004803,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
41,0.5,20.0,73.63229039999987,74.13253880000002,74.13253880000002,74.13253880000002,74.43224269999973,right,20.0,1,1,0.48424240000031205,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
42,0.5,20.0,74.48205469999994,74.98231559999977,74.98231559999977,74.98231559999977,75.28236769999967,right,20.0,1,1,0.48989849999998114,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
43,0.5,20.0,75.3321332999999,75.83222949999981,75.83222949999981,75.83222949999981,76.13230569999996,right,20.0,1,1,0.7468473000003542,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
44,0.5,19.5,76.44847359999994,76.94843589999982,76.94843589999982,76.94843589999982,77.24864109999999,right,19.5,1,1,0.45933469999999943,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
45,0.5,19.5,77.26516889999994,77.76465909999979,77.76465909999979,77.76465909999979,78.08131129999992,right,19.5,1,1,0.4824064000004,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
46,0.5,19.5,78.11440459999994,78.61476649999986,78.61476649999986,78.61476649999986,78.91464919999999,left,-19.5,0,0,0.45228039999983594,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
47,0.5,20.0,78.92998809999972,79.4307117999997,79.4307117999997,79.4307117999997,79.73069149999992,right,20.0,1,1,2.25246210000023,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
48,0.5,20.0,81.54620139999997,82.04623259999971,82.04623259999971,82.04623259999971,82.3456111999999,right,20.0,1,1,0.44124790000023495,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
49,0.5,20.0,82.3456111999999,82.84626630000002,82.84626630000002,82.84626630000002,83.16223409999975,right,20.0,1,1,0.46054370000001654,105852,001,2023-09-01_12h04.40.147,adaptive_staircase_1-9-23,2023.1.3,60.5287672045496,
